id,community
hyddrox,0
ten_gop,0
imaswerve,0
tpartynews,0
finley1589,0
realten_gop,0
rightnpr,0
happkendrahappy,0
prettylaraplace,0
boryabuchin,0
kateritterrrr,0
donnabrivera,0
march_for_trump,0
rh0lbr00k,0
razvedchica_,0
wokefromday1,0
notballinyet,0
ameliebaldwin,0
jenn_abrams,0
chesplayschess,0
queennarielle,0
usa_gunslinger,0
alexsvladimirov,0
pamela_moore13,0
bocharnikov_v,0
bigseanbeast,0
erofeenkoanton,0
missourinewsus,0
sovetnikstatski,0
southlonestar,0
karenparker93,0
j0hnlarsen,1
logan_whatsup,1
mrclydepratt,1
mil0blake,1
blackmattersus,1
jacquelinisbest,1
patriototus,1
hollydler,1
cassishere,1
_billy_moyer_,1
dorothiebell,1
laurabaeley,1
kelvin_chambers,1
evewebster373,1
michellearry,1
westernwindwes,1
wadeharriot,1
jeffreykahunas,1
jaydaastonishin,1
judelambertusa,1
aldrich420,1
stanley_cox_,1
cookncooks,1
cynthiamhunter,1
deusxyx,1
carriethornthon,1
lazykstafford,1
melanymelanin,1
emileewaren,1
riogithief,1
priceforpierce,1
patriotblake,1
patriotraphael,1
leroylovesusa,1
colbyst1,1
c__wells,1
_nickluna_,1
paolakinck,1
hollandpatrickk,1
evagreen69,1
ryanmaxwell_1,1
garrettsimpson_,1
micparrish,1
jeannemccarthy0,1
danny_turner_1,1
marissaimstrong,1
heyits_toby,1
sincerepruitt,1
puredavie,2
hellieedwards,2
charlesjharper,2
thefoundingson,2
calebpaar,2
heyheyhailey,2
mr_clampin,2
danageezus,2
daileyjadon,2
bgarner2107,2
abigailssilk,2
hipppo_,2
traceyhappymom,2
chrixmorgan,2
bruciedublin,2
cascaseyp,2
ilikebigbuttand,2
cassieweltch,2
holycrapchrix,2
giselleevns,2
queenofthewo,2
curtisbigman,2
jmscoxxx,2
aiden7757,2
adrienne_gg,2
loragreeen,2
brightandglory,2
gab1aldana,2
jarrardnorman,2
worldofhashtags,2
dannythehappies,2
kencannone,2
dominicvalent,2
amandavgreen,2
catelinewatkins,2
dickyirwin,2
donnielmiller,2
meggieoneil,2
jasper_fly,2
notritahart,2
kathiemrr,2
melvinsroberts,2
